Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.993,1.000,11.987,33.090,33.766,0,0,0,0,,0.993,1.000,11.389,33.445,34.523,0,0,0,0,,0.993,1.000,11.914,33.548,34.142,0,0,0,0,,0.993,1.000,12.031,31.035,31.357,0,0,0,0,
0.993,0.999,11.992,33.077,33.728,0,0,0,0,,0.993,0.999,11.457,33.407,34.391,0,0,0,0,,0.993,0.999,11.928,33.497,34.103,0,0,0,0,,0.993,0.999,12.031,31.035,31.357,0,0,0,0,
0.993,0.999,11.992,33.077,33.728,0,0,0,0,,0.993,0.999,11.457,33.407,34.391,0,0,0,0,,0.993,0.999,11.928,33.497,34.103,0,0,0,0,,0.993,0.999,11.651,31.023,31.345,0,0,0,0,
0.993,1.000,11.992,33.065,33.702,0,0,0,0,,0.993,1.000,11.938,33.369,34.313,0,0,0,0,,0.993,1.000,12.079,33.471,34.025,0,0,0,0,,0.993,1.000,11.651,31.023,31.345,0,0,0,0,
0.993,1.000,11.992,33.065,33.702,0,0,0,0,,0.993,1.000,11.938,33.369,34.313,0,0,0,0,,0.993,1.000,12.079,33.471,34.025,0,0,0,0,,0.993,1.000,12.035,30.988,31.321,0,0,0,0,
0.994,1.001,12.001,33.039,33.650,0,0,0,0,,0.994,1.001,11.948,33.331,34.221,0,0,0,0,,0.994,1.001,12.084,33.433,34.025,0,0,0,0,,0.994,1.001,12.035,30.988,31.321,0,0,0,0,
0.994,1.001,12.001,33.039,33.650,0,0,0,0,,0.994,1.001,11.948,33.331,34.221,0,0,0,0,,0.994,1.001,12.084,33.433,34.025,0,0,0,0,,0.994,1.001,12.035,30.964,31.285,0,0,0,0,
0.994,1.000,12.001,33.014,33.625,0,0,0,0,,0.994,1.000,11.510,33.280,34.116,0,0,0,0,,0.994,1.000,11.817,33.407,33.999,0,0,0,0,,0.994,1.000,12.035,30.964,31.285,0,0,0,0,
0.994,1.000,12.001,33.014,33.625,0,0,0,0,,0.994,1.000,11.510,33.280,34.116,0,0,0,0,,0.994,1.000,11.817,33.407,33.999,0,0,0,0,,0.994,1.000,12.035,30.964,31.273,0,0,0,0,
0.994,1.002,12.006,33.002,33.586,0,0,0,0,,0.994,1.002,11.933,33.255,34.064,0,0,0,0,,0.994,1.002,12.069,33.382,33.960,0,0,0,0,,0.994,1.002,12.035,30.964,31.273,0,0,0,0,
0.994,1.002,12.006,33.002,33.586,0,0,0,0,,0.994,1.002,11.933,33.255,34.064,0,0,0,0,,0.994,1.002,12.069,33.382,33.960,0,0,0,0,,0.994,1.002,11.836,30.941,31.261,0,0,0,0,
0.993,1.000,11.982,32.964,33.548,0,0,0,0,,0.993,1.000,11.938,33.204,33.973,0,0,0,0,,0.993,1.000,11.875,33.356,33.934,0,0,0,0,,0.993,1.000,11.836,30.941,31.261,0,0,0,0,
0.993,1.000,11.982,32.964,33.548,0,0,0,0,,0.993,1.000,11.938,33.204,33.973,0,0,0,0,,0.993,1.000,11.875,33.356,33.934,0,0,0,0,,0.993,1.000,12.035,30.917,31.225,0,0,0,0,
0.993,1.000,11.982,32.939,33.535,0,0,0,0,,0.993,1.000,11.943,33.166,33.896,0,0,0,0,,0.993,1.000,11.812,33.331,33.896,0,0,0,0,,0.993,1.000,12.035,30.917,31.225,0,0,0,0,
0.993,1.000,11.982,32.939,33.535,0,0,0,0,,0.993,1.000,11.943,33.166,33.896,0,0,0,0,,0.993,1.000,11.812,33.331,33.896,0,0,0,0,,0.993,1.000,11.851,30.905,31.225,0,0,0,0,
0.994,1.000,11.807,32.939,33.484,0,0,0,0,,0.994,1.000,11.403,33.141,33.870,0,0,0,0,,0.994,1.000,12.079,33.293,33.870,0,0,0,0,,0.994,1.000,11.851,30.905,31.225,0,0,0,0,
0.994,1.000,11.807,32.939,33.484,0,0,0,0,,0.994,1.000,11.403,33.141,33.870,0,0,0,0,,0.994,1.000,12.079,33.293,33.870,0,0,0,0,,0.994,1.000,12.035,30.893,31.213,0,0,0,0,
0.994,1.000,11.992,32.901,33.458,0,0,0,0,,0.994,1.000,11.943,33.090,33.792,0,0,0,0,,0.994,1.000,11.924,33.267,33.844,0,0,0,0,,0.994,1.000,12.035,30.893,31.213,0,0,0,0,
0.994,1.000,11.992,32.901,33.458,0,0,0,0,,0.994,1.000,11.943,33.090,33.792,0,0,0,0,,0.994,1.000,11.924,33.267,33.844,0,0,0,0,,0.994,1.000,12.040,30.870,31.178,0,0,0,0,
0.994,1.001,11.997,32.876,33.433,0,0,0,0,,0.994,1.001,11.948,33.065,33.740,0,0,0,0,,0.994,1.001,12.069,33.242,33.818,0,0,0,0,,0.994,1.001,12.040,30.870,31.178,0,0,0,0,
0.994,1.001,11.997,32.876,33.433,0,0,0,0,,0.994,1.001,11.948,33.065,33.740,0,0,0,0,,0.994,1.001,12.069,33.242,33.818,0,0,0,0,,0.994,1.001,12.040,30.846,31.166,0,0,0,0,
0.988,0.997,11.826,32.864,33.394,0,0,0,0,,0.988,0.997,11.948,33.039,33.702,0,0,0,0,,0.988,0.997,12.069,33.217,33.792,0,0,0,0,,0.988,0.997,12.040,30.846,31.166,0,0,0,0,
0.988,0.997,11.826,32.864,33.394,0,0,0,0,,0.988,0.997,11.948,33.039,33.702,0,0,0,0,,0.988,0.997,12.069,33.217,33.792,0,0,0,0,,0.988,0.997,11.821,30.846,31.142,0,0,0,0,
0.993,1.000,11.987,32.826,33.369,0,0,0,0,,0.993,1.000,11.933,33.002,33.638,0,0,0,0,,0.993,1.000,12.069,33.191,33.753,0,0,0,0,,0.993,1.000,11.821,30.846,31.142,0,0,0,0,
0.993,1.000,11.987,32.826,33.369,0,0,0,0,,0.993,1.000,11.933,33.002,33.638,0,0,0,0,,0.993,1.000,12.069,33.191,33.753,0,0,0,0,,0.993,1.000,12.035,30.822,31.130,0,0,0,0,
0.994,1.000,11.997,32.801,33.331,0,0,0,0,,0.994,1.000,11.938,32.977,33.586,0,0,0,0,,0.994,1.000,11.943,33.153,33.728,0,0,0,0,,0.994,1.000,12.035,30.822,31.130,0,0,0,0,
0.994,1.000,11.997,32.801,33.331,0,0,0,0,,0.994,1.000,11.938,32.977,33.586,0,0,0,0,,0.994,1.000,11.943,33.153,33.728,0,0,0,0,,0.994,1.000,12.050,30.811,31.106,0,0,0,0,
0.992,1.000,11.948,32.776,33.280,0,0,0,0,,0.992,1.000,11.408,32.939,33.548,0,0,0,0,,0.992,1.000,12.069,33.128,33.689,0,0,0,0,,0.992,1.000,12.050,30.811,31.106,0,0,0,0,
0.992,1.000,11.948,32.776,33.280,0,0,0,0,,0.992,1.000,11.408,32.939,33.548,0,0,0,0,,0.992,1.000,12.069,33.128,33.689,0,0,0,0,,0.992,1.000,12.050,30.787,31.083,0,0,0,0,
0.993,1.000,11.982,32.751,33.255,0,0,0,0,,0.993,1.000,11.933,32.926,33.522,0,0,0,0,,0.993,1.000,12.084,33.115,33.676,0,0,0,0,,0.993,1.000,12.050,30.787,31.083,0,0,0,0,
0.993,1.000,11.982,32.751,33.255,0,0,0,0,,0.993,1.000,11.933,32.926,33.522,0,0,0,0,,0.993,1.000,12.084,33.115,33.676,0,0,0,0,,0.993,1.000,12.050,30.775,31.083,0,0,0,0,
0.994,0.999,11.992,32.726,33.229,0,0,0,0,,0.994,0.999,11.928,32.901,33.497,0,0,0,0,,0.994,0.999,11.928,33.077,33.638,0,0,0,0,,0.994,0.999,12.050,30.775,31.083,0,0,0,0,
0.994,0.999,11.992,32.726,33.229,0,0,0,0,,0.994,0.999,11.928,32.901,33.497,0,0,0,0,,0.994,0.999,11.928,33.077,33.638,0,0,0,0,,0.994,0.999,12.035,30.752,31.047,0,0,0,0,
