Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.993,1.000,11.982,30.506,31.225,0,0,0,0,,0.993,1.000,11.700,30.682,31.023,0,0,0,0,,0.993,1.000,12.074,31.118,37.180,0,0,0,0,,0.993,1.000,11.787,33.090,33.766,0,0,0,0,
0.992,1.000,11.987,30.436,31.178,0,0,0,0,,0.992,1.000,11.948,30.740,31.118,0,0,0,0,,0.992,1.000,12.079,31.669,36.484,0,0,0,0,,0.992,1.000,11.787,33.090,33.766,0,0,0,0,
0.992,1.000,11.987,30.436,31.178,0,0,0,0,,0.992,1.000,11.948,30.740,31.118,0,0,0,0,,0.992,1.000,12.079,31.669,36.484,0,0,0,0,,0.992,1.000,12.040,32.977,33.599,0,0,0,0,
0.993,1.000,11.992,30.588,31.357,0,0,0,0,,0.993,1.000,11.938,30.752,31.142,0,0,0,0,,0.993,1.000,12.069,32.465,47.235,0,0,0,0,,0.993,1.000,12.040,32.977,33.599,0,0,0,0,
0.993,1.000,11.992,30.588,31.357,0,0,0,0,,0.993,1.000,11.938,30.752,31.142,0,0,0,0,,0.993,1.000,12.069,32.465,47.235,12,0,0,0,,0.993,1.000,12.035,32.851,33.433,0,0,0,0,
Device : 2	Faults seen :	OVTF=1

Fault detected hence turning off the contactor first and waiting for fault recovery
In Fault Mode...!Clear all faults now...!
ReCovered! now read back data again and see if fault is there or not?
Recovered from fault,turning On contactor.....!
0.993,1.001,11.997,30.529,31.273,0,0,0,0,,0.993,1.001,11.919,30.822,31.213,0,0,0,0,,0.993,1.001,12.084,32.864,35.954,0,0,0,0,,0.993,1.001,12.035,32.851,33.433,0,0,0,0,
0.993,1.001,11.997,30.529,31.273,0,0,0,0,,0.993,1.001,11.919,30.822,31.213,0,0,0,0,,0.993,1.001,12.084,32.864,35.954,0,0,0,0,,0.993,1.001,12.040,32.415,32.851,0,0,0,0,
0.994,1.001,11.997,30.494,31.261,0,0,0,0,,0.994,1.001,11.953,30.811,31.202,0,0,0,0,,0.994,1.001,11.880,32.801,35.244,0,0,0,0,,0.994,1.001,12.040,32.415,32.851,0,0,0,0,
0.994,1.001,11.997,30.494,31.261,0,0,0,0,,0.994,1.001,11.953,30.811,31.202,0,0,0,0,,0.994,1.001,11.880,32.801,35.244,0,0,0,0,,0.994,1.001,11.836,32.341,32.876,0,0,0,0,
0.993,0.999,11.987,30.483,31.237,0,0,0,0,,0.993,0.999,11.948,30.811,31.213,0,0,0,0,,0.993,0.999,12.069,32.738,34.855,0,0,0,0,,0.993,0.999,11.836,32.341,32.876,0,0,0,0,
0.993,0.999,11.987,30.483,31.237,0,0,0,0,,0.993,0.999,11.948,30.811,31.213,0,0,0,0,,0.993,0.999,12.069,32.738,34.855,0,0,0,0,,0.993,0.999,12.045,32.230,32.751,0,0,0,0,
0.994,1.000,12.001,30.740,31.561,0,0,0,0,,0.994,1.000,11.938,30.858,31.309,0,0,0,0,,0.994,1.000,12.084,32.813,34.563,0,0,0,0,,0.994,1.000,12.045,32.230,32.751,0,0,0,0,
0.994,1.000,12.001,30.740,31.561,0,0,0,0,,0.994,1.000,11.938,30.858,31.309,0,0,0,0,,0.994,1.000,12.084,32.813,34.563,0,0,0,0,,0.994,1.000,11.612,32.193,32.713,0,0,0,0,
0.994,1.000,11.997,30.693,31.513,0,0,0,0,,0.994,1.000,11.953,30.893,31.393,0,0,0,0,,0.994,1.000,11.885,32.813,34.391,0,0,0,0,,0.994,1.000,11.612,32.193,32.713,0,0,0,0,
0.994,1.000,11.997,30.693,31.513,0,0,0,0,,0.994,1.000,11.953,30.893,31.393,0,0,0,0,,0.994,1.000,11.885,32.813,34.391,0,0,0,0,,0.994,1.000,12.050,32.095,32.601,0,0,0,0,
0.993,1.000,11.987,30.705,31.549,0,0,0,0,,0.993,1.000,11.958,30.941,31.405,0,0,0,0,,0.993,1.000,12.074,32.864,34.234,0,0,0,0,,0.993,1.000,12.050,32.095,32.601,0,0,0,0,
0.993,1.000,11.987,30.705,31.549,0,0,0,0,,0.993,1.000,11.958,30.941,31.405,0,0,0,0,,0.993,1.000,12.074,32.864,34.234,0,0,0,0,,0.993,1.000,12.035,32.046,32.539,0,0,0,0,
0.994,1.000,11.997,30.764,31.621,0,0,0,0,,0.994,1.000,11.457,31.011,32.206,0,0,0,0,,0.994,1.000,12.074,32.914,34.129,0,0,0,0,,0.994,1.000,12.035,32.046,32.539,0,0,0,0,
0.994,1.000,11.997,30.764,31.621,0,0,0,0,,0.994,1.000,11.457,31.011,32.206,0,0,0,0,,0.994,1.000,12.074,32.914,34.129,0,0,0,0,,0.994,1.000,12.040,32.010,32.490,0,0,0,0,
0.994,1.000,12.001,30.787,31.669,0,0,0,0,,0.994,1.000,11.943,31.083,31.863,0,0,0,0,,0.994,1.000,11.695,32.939,34.077,0,0,0,0,,0.994,1.000,12.040,32.010,32.490,0,0,0,0,
